Categoria,incidentes,violacoes,taxa_violacao_%
cat85,3506,548,15.63
cat41,531,506,95.29
cat76,2220,370,16.67
cat71,3584,243,6.78
cat91,1188,239,20.12
cat24,370,186,50.27
cat31,2226,155,6.96
cat29,548,146,26.64
cat45,172,120,69.77
cat103,672,107,15.92
cat83,140,73,52.14
cat38,95,72,75.79
cat112,257,65,25.29
cat137,845,59,6.98
cat77,1605,57,3.55
cat73,1259,51,4.05
cat102,381,41,10.76
cat135,123,40,32.52
cat42,115,36,31.3
cat111,120,31,25.83
cat48,116,30,25.86
cat46,146,30,20.55
cat87,270,28,10.37
cat97,481,26,5.41
cat43,68,24,35.29
cat92,56,23,41.07
cat74,242,23,9.5
cat93,105,22,20.95
cat138,175,21,12.0
cat57,186,18,9.68
cat35,223,18,8.07
cat63,137,16,11.68
cat18,525,15,2.86
cat126,55,12,21.82
cat88,76,11,14.47
cat94,132,11,8.33
cat19,149,11,7.38
cat123,191,10,5.24
cat107,55,9,16.36
cat95,131,9,6.87
cat96,243,8,3.29
cat40,345,8,2.32
cat139,48,7,14.58
cat36,243,7,2.88
cat15,152,6,3.95
cat110,45,4,8.89
cat141,308,3,0.97
cat21,31,2,6.45
cat98,32,2,6.25
cat72,39,2,5.13
cat99,135,2,1.48
cat32,35,1,2.86
cat17,36,0,0.0
