Aberto,Total,P2,P3,dow,is_weekend,lag1,lag2,lag7,mm3,mm7,p2_lag1,p3_lag1,target_d1,target_d7
2025-09-02,1153,296,171,1,0,,,,,,,,1073.0,602.0
2025-09-03,1073,41,114,2,0,1153.0,,,,,296.0,171.0,1280.0,678.0
2025-09-04,1280,187,151,3,0,1073.0,1153.0,,,,41.0,114.0,1030.0,522.0
2025-09-05,1030,56,149,4,0,1280.0,1073.0,,1168.6666666666667,,187.0,151.0,455.0,635.0
2025-09-06,455,42,63,5,1,1030.0,1280.0,,1127.6666666666667,,56.0,149.0,369.0,566.0
2025-09-07,369,34,62,6,1,455.0,1030.0,,921.6666666666666,,42.0,63.0,511.0,492.0
2025-09-08,511,55,167,0,0,369.0,455.0,,618.0,,34.0,62.0,602.0,673.0
2025-09-09,602,57,154,1,0,511.0,369.0,1153.0,445.0,838.7142857142857,55.0,167.0,678.0,597.0
2025-09-10,678,79,276,2,0,602.0,511.0,1073.0,494.0,760.0,57.0,154.0,522.0,593.0
2025-09-11,522,42,174,3,0,678.0,602.0,1280.0,597.0,703.5714285714286,79.0,276.0,635.0,600.0
2025-09-12,635,58,259,4,0,522.0,678.0,1030.0,600.6666666666666,595.2857142857143,42.0,174.0,566.0,679.0
2025-09-13,566,23,110,5,1,635.0,522.0,455.0,611.6666666666666,538.8571428571429,58.0,259.0,492.0,717.0
2025-09-14,492,21,72,6,1,566.0,635.0,369.0,574.3333333333334,554.7142857142857,23.0,110.0,673.0,681.0
2025-09-15,673,96,198,0,0,492.0,566.0,511.0,564.3333333333334,572.2857142857143,21.0,72.0,597.0,1431.0
2025-09-16,597,42,174,1,0,673.0,492.0,602.0,577.0,595.4285714285714,96.0,198.0,593.0,893.0
2025-09-17,593,52,187,2,0,597.0,673.0,678.0,587.3333333333334,594.7142857142857,42.0,174.0,600.0,674.0
2025-09-18,600,66,165,3,0,593.0,597.0,522.0,621.0,582.5714285714286,52.0,187.0,679.0,628.0
2025-09-19,679,70,164,4,0,600.0,593.0,635.0,596.6666666666666,593.7142857142857,66.0,165.0,717.0,654.0
2025-09-20,717,73,168,5,1,679.0,600.0,566.0,624.0,600.0,70.0,164.0,681.0,564.0
2025-09-21,681,46,105,6,1,717.0,679.0,492.0,665.3333333333334,621.5714285714286,73.0,168.0,1431.0,505.0
2025-09-22,1431,85,849,0,0,681.0,717.0,673.0,692.3333333333334,648.5714285714286,46.0,105.0,893.0,659.0
2025-09-23,893,250,240,1,0,1431.0,681.0,597.0,943.0,756.8571428571429,85.0,849.0,674.0,773.0
2025-09-24,674,180,182,2,0,893.0,1431.0,593.0,1001.6666666666666,799.1428571428571,250.0,240.0,628.0,733.0
2025-09-25,628,66,155,3,0,674.0,893.0,600.0,999.3333333333334,810.7142857142857,180.0,182.0,654.0,885.0
2025-09-26,654,30,243,4,0,628.0,674.0,679.0,731.6666666666666,814.7142857142857,66.0,155.0,564.0,1063.0
2025-09-27,564,22,109,5,1,654.0,628.0,717.0,652.0,811.1428571428571,30.0,243.0,505.0,740.0
2025-09-28,505,20,72,6,1,564.0,654.0,681.0,615.3333333333334,789.2857142857143,22.0,109.0,659.0,553.0
2025-09-29,659,39,160,0,0,505.0,564.0,1431.0,574.3333333333334,764.1428571428571,20.0,72.0,773.0,723.0
2025-09-30,773,62,191,1,0,659.0,505.0,893.0,576.0,653.8571428571429,39.0,160.0,733.0,1098.0
